username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
divinegrackle,"Artist//♓//Local Weirdo//UR Mom//Stoic//#DogeFam

❤️Surreal glitch on a journey to somewhere❤️
🌠Making the 80s cool again!🌠 Σ","Austin, TX",2291,3088,13282,0,"@TeslaAndBitcoin How about a Tesla Cybertruck Transformer? 🤔

Get on it, Elon!",[]
TeslaAndBitcoin,Love everything #Tesla,"California, USA",627,3418,6017,4,In 3 days this account has acquired almost 15k followers. Internet is going crazy over the #Tesla Bot. It’s MUCH bigger than the #Cybertruck event. https://t.co/ygNZ7SFYCs,"['Tesla', 'Cybertruck']"
_teslaAIbot_,"It’s the Tesla AI bot, It’s sentient, It’s the future…I’ll explain & help you understand of @teslaAIbot","Palo Alto, California",4,11,149,46,Beginnings of Giant Cybertruck spotted on GigaTexas @elonmusk 🤯🤯🤯 it looks so massive! @Tesla https://t.co/Pc4G4UejfR,[]
MaricelRepaso,#syndicateinitiative💖#SyNScholar😍,,385,67,1694,11,"Within a few months I can pay off this #teslamodel3 $ collect for the #cybertruck and fully pay that off 👌🏿 all because of #AxieInifinty &amp; fuck it ill save for the #teslabot too, crazy how a game can bring financial freedom at the same time helping others from bs jobs &amp; shit pay https://t.co/DgPtK96EQ3","['teslamodel3', 'cybertruck']"
fuckdammitfraz,"The only reason I made this account is to get involved in the inevitable shenanigans my friends will get...
Currently spreading Gacha Salt. He/Him",123 Fucknosewhere street.,165,283,78884,25,the cybertruck will probably never make it to production but its competitors will and that’s hilarious to me. elon musk showed a fake product that was never going to make it to production and created an entire new car market in the process to nobody’s benefit,[]
RichardNoz,Evil Gemius. Greatest enemies: Free Will and Dyslexeya,BFN,201,33,785,46,Beginnings of Giant Cybertruck spotted on GigaTexas @elonmusk 🤯🤯🤯 it looks so massive! @Tesla https://t.co/Pc4G4UejfR,[]
Everman,May The Force Be With You,1 AU,904,1826,23664,14,"Randy @Terafactorytx shares his 🤯🤯observations of Tesla Giga Texas design! 
Will we see a Cybertruck design right on the Cybertruck Gigafactory @elonmusk https://t.co/lacaPgCZYc",[]
jasonfromnyc,"Writer, Project Manager & aspiring Day Trader -future #CYBERTRUCK owner -here for TSLA & Tech Disrupters -relocating to Starbase","Los Angeles, CA",68,6,92,28,If you look closely you can see that the outer wall is shaping into a Cybertruck !! Amazing work @elonmusk ! These are the small reasons why I love Tesla !! @SawyerMerritt @squawksquare @garyblack00 https://t.co/r11uXnvxhN,[]
BlueFlame_MK,Purveyor of fine Eupho GIFs | 23 years of introversion and counting | 上手くなりたい! | he/him | Private @BlueFlame_Priv,"Brooklyn, NY",930,1924,21201,25,the cybertruck will probably never make it to production but its competitors will and that’s hilarious to me. elon musk showed a fake product that was never going to make it to production and created an entire new car market in the process to nobody’s benefit,[]
GrumpmanJ,"""He's just this guy, you know....""
Dad, former Jarhead 🦅🌎⚓ , trying to more good than evil every day",,981,149,922,46,Beginnings of Giant Cybertruck spotted on GigaTexas @elonmusk 🤯🤯🤯 it looks so massive! @Tesla https://t.co/Pc4G4UejfR,[]
sdamico,,SF,827,808,7642,0,"The three design paradigms of the 2020s: “pastel Instagram”, “corporate Memphis”, and “cybertruck”",[]
adamhoov,"$tsla, 11x cybertruck, model 3 owner, FSD, #doge, wim hof, mars, not sarcastic, mega bull on fiat currency, Followed by Gary and blocked by mike","California, USA",2414,3518,16386,46,Beginnings of Giant Cybertruck spotted on GigaTexas @elonmusk 🤯🤯🤯 it looks so massive! @Tesla https://t.co/Pc4G4UejfR,[]
alicelilly1,"Truth Seeker - Defender of the Faithful - Keep Fighting the Good Fight

🧚‍♀️ i am not a 2-D flower fairy - images do Lie",,2572,1568,92493,0,Jay Leno and Elon Musk Ride Tesla's Cybertruck into Boring Company Tunnel in Jay Leno's Garage https://t.co/z9U8atfb23,[]
BLKMDL3,,"Los Angeles, CA",1109,13948,37766,0,@NevanRead @Tesla Cybertruck….,[]
Tofi2010,,,621,68,861,46,Beginnings of Giant Cybertruck spotted on GigaTexas @elonmusk 🤯🤯🤯 it looks so massive! @Tesla https://t.co/Pc4G4UejfR,[]
5eektruth,,,179,5,153,0,"@elonmusk , please follow through with the Cybertruck lift gate.  Also, variable size cup holders accommodating bucket size water jugs would be appreciated for those of us who do manual labor for a living. 🙏",[]
Vusijay2,"🌟🌍I am the child of the universe🌏 not less than the trees🌱 and the stars.
🌟🌎🤩",,1651,1092,1191,2,"You can now choose the Tesla bot in my mini-metaverse Threedium.  I even got the Tesla bot to drive the Cybertruck!
This runs on any browser, best viewed on desktop https://t.co/u12b9aPKOd

#threedium #metaverse #teslabot #tesla https://t.co/92mNVwEL04",[]
Francislau2099,Make your portfolio reflect your best vision for our future. Always be thinking ahead. Be optimistic.,Hong Kong,58,165,12534,14,"Randy @Terafactorytx shares his 🤯🤯observations of Tesla Giga Texas design! 
Will we see a Cybertruck design right on the Cybertruck Gigafactory @elonmusk https://t.co/lacaPgCZYc",[]
cryptovoxels,A virtual world on the Ethereum blockchain,The Metaverse,1970,44116,9928,2,"You can now choose the Tesla bot in my mini-metaverse Threedium.  I even got the Tesla bot to drive the Cybertruck!
This runs on any browser, best viewed on desktop https://t.co/u12b9aPKOd

#threedium #metaverse #teslabot #tesla https://t.co/92mNVwEL04",[]
passthebeano,"Yes, I did have a burrito for lunch. Why do you ask?",,1282,2503,38554,7,"How is claiming TeslaBot will be out in a year not fraud?
How is claiming robotaxis will be out next year not fraud?
How was Solar Roof not fraud?
How was 4680 cells, the semi, and CyberTruck not fraud?

“Ask How”
#TSLA",[]
energysmartohio,HVAC 2.0 CEO Nate Adams - Take the Electrify Everything Course: https://t.co/23DjBjiSPw Need to chat? Schedule here: https://t.co/YnMdYm6cml,Cleveland OH,364,4796,31709,0,"@AndyKosick @SimonMahan @schmangee Electric pickups are gonna kick butt. 

My holler friends are genuinely excited about the CyberTruck and F-150.",[]
rondon_andrade,"Conservador, empresario, libertario. Sentido común, el socialismo es una enfermedad mental.",,168,48,4572,46,Beginnings of Giant Cybertruck spotted on GigaTexas @elonmusk 🤯🤯🤯 it looks so massive! @Tesla https://t.co/Pc4G4UejfR,[]
CassyGoat,goat,"Virginia, USA",479,55,9496,25,the cybertruck will probably never make it to production but its competitors will and that’s hilarious to me. elon musk showed a fake product that was never going to make it to production and created an entire new car market in the process to nobody’s benefit,[]
repke_branden,NFL NBA NBA Technology Technology Technology Games Games Gaming News,United States,336,38,1437,46,Beginnings of Giant Cybertruck spotted on GigaTexas @elonmusk 🤯🤯🤯 it looks so massive! @Tesla https://t.co/Pc4G4UejfR,[]
Ryu_Zoku,"Science, Music, Electronics, ZokuTalk AI Language System, Smalltalk, Assembly, FPGA, Neuro-Linguistics, Hearding Cats, Lover of Life, Voluntaryist, NAP, ...",Planet Earth,3585,505,40955,3,"Thinking about the Cybertruck today… and every other day of the week. ⚔️🖤

@elonmusk https://t.co/K6lD33rCiM",[]
nuzz92,iG: Nuzz92 Respect 🙏🏼💰🚀📈 Only responsible for my own investments - go get yours! $HMBL $WDLF $ENZC $HCMC $TSLA  🇮🇹,"Philadelphia, PA",960,619,20645,46,Beginnings of Giant Cybertruck spotted on GigaTexas @elonmusk 🤯🤯🤯 it looks so massive! @Tesla https://t.co/Pc4G4UejfR,[]
AnonVAPerson,Recognized. Talented.,,1683,154,20469,7,"How is claiming TeslaBot will be out in a year not fraud?
How is claiming robotaxis will be out next year not fraud?
How was Solar Roof not fraud?
How was 4680 cells, the semi, and CyberTruck not fraud?

“Ask How”
#TSLA",[]
dogecoin4tesla,"I'm a bot made by @DogecoinBeggar.

I check the price of a @Tesla vehicle in #Dogecoin every hour.

$DOGE tip jar: DQUj3jVvZZGTEAoNAxffj8CA4vnLVuUQtk",The Moon,777,897,3500,0,"Currently, 1 $DOGE = $0.312960.

At this rate, a #Tesla #Cybertruck costs:
• Single Motor RWD: 127,493 Ɖ
• Dual Motor AWD: 159,446 Ɖ
• Tri Motor AWD: 223,352 Ɖ
• +Full Self-Driving: 31,953 Ɖ

#dogecoin

https://t.co/QJ9UP2xeOK","['Tesla', 'Cybertruck', 'dogecoin']"
Raul_canelo,former republican. New Democrat. la dicha de haber nacido en León Guanajuato. fiera desde 1972,"Los Angeles, CA",1943,2193,219051,46,Beginnings of Giant Cybertruck spotted on GigaTexas @elonmusk 🤯🤯🤯 it looks so massive! @Tesla https://t.co/Pc4G4UejfR,[]
LumanogRacel,Putot but pretty!,,9,2,138,11,"Within a few months I can pay off this #teslamodel3 $ collect for the #cybertruck and fully pay that off 👌🏿 all because of #AxieInifinty &amp; fuck it ill save for the #teslabot too, crazy how a game can bring financial freedom at the same time helping others from bs jobs &amp; shit pay https://t.co/DgPtK96EQ3","['teslamodel3', 'cybertruck']"
Trav_Smith,Real Estate 🏡 Crypto 🪙🚀🌙 #SafeMoonArmy #GoatedMuskArmy #AshArmy ✊🏼 #RooferArmy #Safearn #SafeVault #VaultEmpire,USA,1020,633,5208,0,@GoatedMusk @debtfreebsc @DaleThomo @Moonofwallst 🔥🚀🌙Let’s gooooo Cybertruck!!🔥🚀🌙@zephyr823 @mmhuki @devansh_jain_ @Civilstararun @airdrop1996 @JPatrick313 @Mindoge420x69 @Naynay78946540 @KevinCroy9 @elonmusk 🐐🙏🏼 0xe926A0ACE01dCD8BaF7171e3dd8FD5d8194b8a6d 🙏🏼🐐,[]
FreeCybertruck,Tweeting Elon and Tesla everyday for a free Cybertruck.,Elon's DMs,176,10,615,0,"Day 606 of tweeting Elon and Tesla for a free #Cybertruck @elonmusk @Tesla 

I will literally buy a $1 item rather than walk out without buying anything.

@Grimezsz @OfficialRezz @MKBHD @PhiaBennin #ElonMusk #AIDay #Bitcoin #doge #JeffBezos #free #meme #memes #memesdaily #ada https://t.co/ImG3s7caX0","['Cybertruck', 'ElonMusk', 'AIDay', 'Bitcoin', 'doge', 'JeffBezos', 'free', 'meme', 'memes', 'memesdaily', 'ada']"
MarcusMansion,"I run Punk Office, a company that specialises in interactive 3D media","Melbourne, Victoria",16,76,44,2,"You can now choose the Tesla bot in my mini-metaverse Threedium.  I even got the Tesla bot to drive the Cybertruck!
This runs on any browser, best viewed on desktop https://t.co/u12b9aPKOd

#threedium #metaverse #teslabot #tesla https://t.co/92mNVwEL04","['threedium', 'metaverse', 'teslabot', 'tesla']"
jackspa84167797,Economy Cryto Currency Blogs Music Movies Soccer Bitcoin Music travel fashion doge coin is the people coins  In Musk we trust.,"Bangkok, Thailand",3037,1277,58646,3,"Thinking about the Cybertruck today… and every other day of the week. ⚔️🖤

@elonmusk https://t.co/K6lD33rCiM",[]
KanyelonMusk,"Stocks, tokens, Tesla",Los Angeles,434,87,1037,28,If you look closely you can see that the outer wall is shaping into a Cybertruck !! Amazing work @elonmusk ! These are the small reasons why I love Tesla !! @SawyerMerritt @squawksquare @garyblack00 https://t.co/r11uXnvxhN,[]
GammerSolon,,,69,21,82,11,"Within a few months I can pay off this #teslamodel3 $ collect for the #cybertruck and fully pay that off 👌🏿 all because of #AxieInifinty &amp; fuck it ill save for the #teslabot too, crazy how a game can bring financial freedom at the same time helping others from bs jobs &amp; shit pay https://t.co/DgPtK96EQ3","['teslamodel3', 'cybertruck']"
yostriker_,,,400,34,3607,46,Beginnings of Giant Cybertruck spotted on GigaTexas @elonmusk 🤯🤯🤯 it looks so massive! @Tesla https://t.co/Pc4G4UejfR,[]
nuzz92,iG: Nuzz92 Respect 🙏🏼💰🚀📈 Only responsible for my own investments - go get yours! $HMBL $WDLF $ENZC $HCMC $TSLA  🇮🇹,"Philadelphia, PA",960,619,20645,10,"Enjoy this week's 90-min. episode of my @Tesla podcast, Ride the Lightning! Lots to cover this week, as I was lucky enough to attend AI Day. I look at what Dojo means for FSD's near-future, analyze @elonmusk's Cybertruck/Hardware 4 comments &amp; more! Listen: https://t.co/Hrpm4IfckR",[]
BajaBlastB1tch,"18/black gal
Untagged body horror+gore Send in art & edit reqs here: https://t.co/rAyodvm67k",,951,44,8152,25,the cybertruck will probably never make it to production but its competitors will and that’s hilarious to me. elon musk showed a fake product that was never going to make it to production and created an entire new car market in the process to nobody’s benefit,[]
4H48s,,,149,4,105,0,Hey @elonmusk my son is a huge @Tesla fan and hopefully a future owner! He drew this Cybertruck and wanted you to see it. 🙂 https://t.co/6a1qHEr2Jl,[]
Hotpockets4ever,"Analytical chemistry / Enterprise mobile software / Machinist 

There's no place like G28.",,65,48,3280,0,@KyleSGibson @gwestr Low hanging fruit since the cybertruck is just a meme.,[]
jgrano305,🇺🇸 🇮🇱 #SilverMetallicModel3 @TeslaClubSoFla LRRWD Y 🚗,"Miami, FL",2040,3223,42886,46,Beginnings of Giant Cybertruck spotted on GigaTexas @elonmusk 🤯🤯🤯 it looks so massive! @Tesla https://t.co/Pc4G4UejfR,[]
SALS_AG,"Science. Soils. ⬆️ Biodiversity. ⬇️ Synthetic Inputs. 
Rapid movement towards 🔃 systems.",TBD,4676,1066,2468,0,@skellerfarms @realagriculture @DanStrilchuk If you're a business apparently this applies to electric vehicles as well .. cybertruck??,[]
Koo_kuro,I retweet alot. Go away please.,,4983,139,74785,25,the cybertruck will probably never make it to production but its competitors will and that’s hilarious to me. elon musk showed a fake product that was never going to make it to production and created an entire new car market in the process to nobody’s benefit,[]
AstroJordy,18 | Tesla Shareholder🚗🔋| 🧠 Everything Elon❤️ | Astrophotography📸🚀 | 🖤FUTURE Cybertruck owner⚔️,"Fremont, NE",627,6948,11110,3,"Thinking about the Cybertruck today… and every other day of the week. ⚔️🖤

@elonmusk https://t.co/K6lD33rCiM",[]
MadameMayh3m,"Lizzi - 24 - She/Her - White - Bisexual Disaster
Black Lives Matter",,116,142,46514,25,the cybertruck will probably never make it to production but its competitors will and that’s hilarious to me. elon musk showed a fake product that was never going to make it to production and created an entire new car market in the process to nobody’s benefit,[]
ijoe13,#Tesla #EV #solar #space #PNW $TSLA,Pacific Northwest,410,408,17990,0,@WholeMarsBlog Elon mentioned something about it shipping first in the Cybertruck. Does that mean the Cybertruck is a year away too? 🤔,[]
zorumekia369,ごくまれに、たまに時々イラストを描きます。 他アカウント＠feelngashita9 ( plasmapeace8 )  @azojiiikarano そして参加させて頂いております #PSYCHOBLOCK展 #PSYCHOINFORMATION！,日本 東京🇯🇵,478,172,2802,46,Beginnings of Giant Cybertruck spotted on GigaTexas @elonmusk 🤯🤯🤯 it looks so massive! @Tesla https://t.co/Pc4G4UejfR,[]
GrimWh0,"“What I have is not a dream, because I will make it a reality” - Sasuke | Streamer, graphic designer/artist (@akaEnigma_)— click the link for all socials ⬇️",Error 4̴̲̄0̵͉̕͜4̴͈͐͂̃,300,1000,38812,0,Why tf is it speculated that the cybertruck is gonna cost $400 a month to insure. That’s insane.,[]
godfrey_G_,If our limited intelligence got us here imagine where unlimited A.I intelligence  can take us. Hi Am GeE and I am a Space fanatic and an AI believer.,"Johannesburg, South Africa",41,3501,456165,1,#Tesla's #Cybertruck made a cameo at #AI Day. Kind of. (Mashable) #AutoIndustry #AutomobileIndustry #AV #EV https://t.co/eHW7teCLob https://t.co/ICZ3FyoY4W,"['Tesla', 'Cybertruck', 'AI', 'AutoIndustry', 'AutomobileIndustry', 'AV', 'EV']"
jamesvgingerich,"#ChangeAgent following #DigitalTransformation, #InsurTech. @Expeflow helping IMEs and Insurance firms automate their #Claims workflow to become more productive.","Waterloo, Ontario Canada",67959,64124,316961,1,#Tesla's #Cybertruck made a cameo at #AI Day. Kind of. (Mashable) #AutoIndustry #AutomobileIndustry #AV #EV https://t.co/eHW7teCLob https://t.co/ICZ3FyoY4W,"['Tesla', 'Cybertruck', 'AI', 'AutoIndustry', 'AutomobileIndustry', 'AV', 'EV']"
elijosesa,Creo en la democracia verdadera!,,1317,153,17323,46,Beginnings of Giant Cybertruck spotted on GigaTexas @elonmusk 🤯🤯🤯 it looks so massive! @Tesla https://t.co/Pc4G4UejfR,[]
DanielCMarvin1,Retired Bering Sea Captain... Novice Sea Poet. Professional Dog Walker. Tesla Owner,"Oregon, USA",1736,1272,28585,0,@dealer_of_happy Tesla should run a contest for the best CyberTruck wraps.,[]
dealer_of_happy,YouTube🎥https://t.co/1qzKRJiSFp . . . .. Twitch🎮https://t.co/VIqRDDZgRr. . . . . . . . .. marketing@dealerofhappiness.com,United States,83,846,10136,0,"@DanielCMarvin1 Because of its shape, I cannot think of a car that would be easier to wrap than Cybertruck",[]
KianJoh12493768,#Syndicateinitiative #SyNScholar,,9,7,125,11,"Within a few months I can pay off this #teslamodel3 $ collect for the #cybertruck and fully pay that off 👌🏿 all because of #AxieInifinty &amp; fuck it ill save for the #teslabot too, crazy how a game can bring financial freedom at the same time helping others from bs jobs &amp; shit pay https://t.co/DgPtK96EQ3","['teslamodel3', 'cybertruck']"
HanzoLoWang,🌎 cat software in human hardware. i follow you my love,,1271,51,70140,11,"The #TeslaBot reminds me of @alexriesart Metahuman WIP design. Also the Crew Dragon capsule design reminded me of the Spear painting design. 

Bonus points if you spot a #cybertruck design in these screenshots😂 https://t.co/8jvFHONMJR",['TeslaBot']
pbsanstead,"I advocate for self-directed education, respect for children, EVs, sustainability/green energy, #BlackLivesMatter, and fighting the white cisheteropatriarchy.","Oklahoma, USA",505,1662,31442,46,Beginnings of Giant Cybertruck spotted on GigaTexas @elonmusk 🤯🤯🤯 it looks so massive! @Tesla https://t.co/Pc4G4UejfR,[]
AstroJordy,18 | Tesla Shareholder🚗🔋| 🧠 Everything Elon❤️ | Astrophotography📸🚀 | 🖤FUTURE Cybertruck owner⚔️,"Fremont, NE",627,6948,11110,3,"Thinking about the Cybertruck today… and every other day of the week. ⚔️🖤

@elonmusk https://t.co/K6lD33rCiM",[]
biogirl09,"Every launch is an act of defiance, shattering the bonds of gravity and seeking our destiny in the stars. - @ToryBruno
*Huge fan of @elonmusk, @SpaceX, & @Tesla","Austin, TX",5003,2243,222842,46,Beginnings of Giant Cybertruck spotted on GigaTexas @elonmusk 🤯🤯🤯 it looks so massive! @Tesla https://t.co/Pc4G4UejfR,[]
Pollo_Papi21,"no, your bio",,47,3,190,11,"The #TeslaBot reminds me of @alexriesart Metahuman WIP design. Also the Crew Dragon capsule design reminded me of the Spear painting design. 

Bonus points if you spot a #cybertruck design in these screenshots😂 https://t.co/8jvFHONMJR",['TeslaBot']
shazamthebomb,Serial Chiller 🤜,,1590,172,4382,46,Beginnings of Giant Cybertruck spotted on GigaTexas @elonmusk 🤯🤯🤯 it looks so massive! @Tesla https://t.co/Pc4G4UejfR,[]
cyberlandr,"The first and only camper spcifically designed for the Tesla #Cybertruck. #Cyberlandr, where will you take life? Preorder yours today!","Austin, TX",51,2483,266,1,Cyberlandr for Tesla Cybertruck: An Interview with the creators--and I am going to be living in it by summer 2023 https://t.co/y8gXj7zUdm via @YouTube @Tesla @cyberlandr,[]
DanielCMarvin1,Retired Bering Sea Captain... Novice Sea Poet. Professional Dog Walker. Tesla Owner,"Oregon, USA",1736,1272,28585,0,"@dealer_of_happy I like it, I hope to wrap my CyberTruck",[]
fbiego_,"Embedded Developer
#tech @arduino #raspberrypi #iot | @_retweets___","Eldoret, Kenya",2771,2632,9662,46,Beginnings of Giant Cybertruck spotted on GigaTexas @elonmusk 🤯🤯🤯 it looks so massive! @Tesla https://t.co/Pc4G4UejfR,[]
teslaownersSV,Account follows the most Notorious Tesla Owners Club in the world & the founders journey as an owner. #FSDBetaTester. The club with never ending Teslas.,Silicon Valley,205,141123,82656,46,Beginnings of Giant Cybertruck spotted on GigaTexas @elonmusk 🤯🤯🤯 it looks so massive! @Tesla https://t.co/Pc4G4UejfR,[]
multiocular0,quotebot,,1,1,690,0,get in the fucking cybertruck shinji,[]
AlexDaUkrainian,"Dev @bizarrosnft. Venture Partner, @StacksStartups. Founder, @gankstars. Burner. 24px, Cool Cats, SRSC. Life goals: have fun, leave the world a better place!","San Francisco, CA, USA",875,1993,17761,0,"@Cleatis_NFT Nice. Used to be mine, too. Now it’s black cybertruck, I got 2 on preorder, just need to actually flip into being able to afford one 😅",[]
jgmartn,software engineer / machine learning,"Orlando, FL",538,132,11080,0,@28delayslater The biggest advantage of cybertruck is that you won’t have to keep it in a garage.,[]
TeslaForThe_Win,Watch as Automotive Archangel Elon Musk battles the notorious Darth Vader and his evil oil empire for the future of humanity..gas is soooo yesterday! Gooo TESLA,Minnesota / USA 🇺🇸,4994,3185,40752,46,Beginnings of Giant Cybertruck spotted on GigaTexas @elonmusk 🤯🤯🤯 it looks so massive! @Tesla https://t.co/Pc4G4UejfR,[]
Patrick_Murrin,"Video game content creator.
YouTube-https://t.co/FHkivex7PZ
Twitch-https://t.co/Etqf2fnzAn",,1050,158,47083,10,"Enjoy this week's 90-min. episode of my @Tesla podcast, Ride the Lightning! Lots to cover this week, as I was lucky enough to attend AI Day. I look at what Dojo means for FSD's near-future, analyze @elonmusk's Cybertruck/Hardware 4 comments &amp; more! Listen: https://t.co/Hrpm4IfckR",[]
